No,ID,ACCID,Vet Name,แขวง/ตำบล,เขต/อำเภอ,จังหวัด,Address ID,Zip ,วันที่เปิดทำการ,เวลาเปิดทำการ,เวลาปิดทำการ,ที่อยู่,Stock,Stock
60,6778490060,CN160,โรงพยาบาลสัตว์พอว์ สเปซ (Paws Space Pet Hospital),ต้นเปา,อำเภอสันกำแพง,เชียงใหม่,501312,50130,ทุกวัน,9:00:00 AM,7:00:00 PM,70/16 ม.8 ถ.สันกำแพงสายใหม่,0,0
61,6778490061,CN161,เวียงชัยปศุสัตว์,ป่างิ้ว,อำเภอเวียงป่าเป้า,เชียงราย,571104,57170,ทุกวัน หยุดวันอาทิตย์,9:00:00 AM,6:00:00 PM,161 ม.9,0,0
62,6778490062,CN162,คลินิกต้นธงรักษาสัตว์,ต้นธง,อำเภอเมืองลำพูน,ลำพูน,510107,51000,"วันอังคาร, วันพุธ, วันพฤหัส, วันศุกร์, วันเสาร์, วันอาทิตย์",10:00:00 AM,8:00:00 PM,195/21 ม.2 ถ.ลำพูน-ป่าซาง,0,0
63,6778490063,CN163,คลินิกหมอต้อมรักษาสัตว์,โป่งผา,อำเภอแม่สาย,เชียงราย,570904,57130,ทุกวัน,8:00:00 AM,7:00:00 PM,3/1 ม.5,0,0
64,6778490064,CN164,คลินิกรักษาสัตว์กาดต์บ้านใหม่,ริมกก,อำเภอเมืองเชียงราย,เชียงราย,570114,57100,ทุกวัน,9:00:00 AM,7:00:00 PM,74/4 ม.4 ถ.กลางเวียง,0,0
65,6778490065,CN165,คลินิกคำหลวงรักษาสัตว์,บ้านดู่,อำเภอเมืองเชียงราย,เชียงราย,570103,57100,ทุกวัน,9:00:00 AM,7:30:00 PM,222/2 ม.17,0,0
66,6778490066,CN166,บ้านหมากับแมวสัตวแพทย์,นางแล,อำเภอเมืองเชียงราย,เชียงราย,570104,57100,ทุกวัน,9:00:00 AM,7:00:00 PM,319 ม.14,0,0
67,6778490067,CN167,น้ำปิงเพ็ทแคร์,แม่เหียะ,อำเภอเมืองเชียงใหม่,เชียงใหม่,500109,50000,ทุกวัน,8:00:00 AM,8:00:00 PM,เลขที่ 101/9 หมู่ที่ 5,0,0
68,6778490068,CN168,โรงพยาบาลสัตว์ดอนแก้ว,ดอนแก้ว,อำเภอแม่ริม,เชียงใหม่,500710,50180,ทุกวัน,12:00:00 AM,12:00:00 AM,9/7 ม.2,0,0
69,6778490069,CN169,ภูตะวันสัตวแพทย์,หย่วน,อำเภอเชียงคำ,พะเยา,560301,56110,ทุกวัน,9:00:00 AM,7:00:00 PM,313 ม.6,0,0
70,6778490070,CN170,มาว มาว เพ็ท คลีนิก,ช้างเผือก,อำเภอเมืองเชียงใหม่,เชียงใหม่,500107,50300,ทุกวัน,10:00:00 AM,7:00:00 PM,35 ถ.หมื่นด้ามพร้าคต,0,0
71,6778490071,CN171,โฮมตูบและเหมียว สัตวแพทย์,สันทราย,อำเภอเมืองเชียงราย,เชียงราย,570107,57000,ทุกวัน,9:00:00 AM,7:00:00 PM,เลขที่ 7 หมู่ที่ 6,0,0
72,6778490072,CN172,โรงพยาบาลสัตว์เชียงใหม่ เซ็นเตอร์,ท่าศาลา,อำเภอเมืองเชียงใหม่,เชียงใหม่,500112,50000,ทุกวัน,8:00:00 AM,7:00:00 PM,เลขที่ 16/24 หมู่ที่ 2,0,0
73,6778490073,CN173,โรงพยาบาลสัตว์ สันกำแพง,ต้นเปา,อำเภอสันกำแพง,เชียงใหม่,501312,50130,ทุกวัน,9:00:00 AM,9:00:00 PM,เลขที่ 12/10 หมู่ที่ 7,0,0
74,6778490074,CN174,สะพานขาว เพ็ทเวลเนส,สันผักหวาน,อำเภอหางดง,เชียงใหม่,501508,50230,ทุกวัน,10:00:00 AM,7:00:00 PM,เลขที่ 297 หมู่ที่ 5,0,0
75,6778490075,CN175,คลินิกรักษาสัตว์ คณะสัตวแพทยศาสตร์ มหาวิทยาลัยแม่โจ้,หนองหาร,อำเภอสันทราย,เชียงใหม่,501408,50290,ทุกวัน หยุดวัน เสาร์ อาทิตย์,9:00:00 AM,4:00:00 PM,เลขที่ 63 หมู่ 4,0,0
76,6778490076,CN176,คลินิกฮอมฮักรักษาสัตว์,สันกำแพง,อำเภอสันกำแพง,เชียงใหม่,501301,50130,ทุกวัน,10:00:00 AM,7:00:00 PM,82/1 ม.7,0,0
77,6778490077,CN177,คลินิกโฮ่งเหมียว ลำพูน,บ้านกลาง,อำเภอเมืองลำพูน,ลำพูน,510112,51000,ทุกวัน,9:00:00 AM,8:00:00 PM,"เลขที่ 122/9,122/10 หมู่ที่ 4",0,0
78,6778490078,CN178,โรงพยาบาลนานาสัตว์,หนองควาย,อำเภอหางดง,เชียงใหม่,501509,50230,ทุกวัน,9:00:00 AM,7:00:00 PM,เลขที่ 294/1 หมู่ที่ 7,0,0
79,6778490079,CN179,คลินิกเวียงเหนือรักษาสัตว์,เวียงเหนือ,อำเภอเมืองลำปาง,ลำปาง,520101,52000,ทุกวัน,9:00:00 AM,7:00:00 PM,88/1 ถ.จามเทวี,0,0
80,6778490080,CN180,Pet Corner รักษาสัตว์,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,104202,10220,ทุกวัน,9:00:00 AM,8:00:00 PM,49/49 ซ.สุขาภิบาล 5 ซ.45,0,0
81,6778490081,CN181,ลำปางสัตวภัณฑ์,พระบาท,อำเภอเมืองลำปาง,ลำปาง,520105,52000,ทุกวัน,9:00:00 AM,7:00:00 PM,97 ถ.ลําปาง-แม่ทะ,0,0
82,6778490082,CN182,ลำปางสัตวภัณฑ์,พระบาท,อำเภอเมืองลำปาง,ลำปาง,520105,52000,ทุกวัน,9:00:00 AM,7:00:00 PM,97 ถ.ลําปาง-แม่ทะ,0,0
83,6778490083,CN183,คลินิกบ้านสุขใจรักษาสัตว์,ป่าแดด,อำเภอเมืองเชียงใหม่,เชียงใหม่,500110,50100,ทุกวัน,9:00:00 AM,7:00:00 PM,103/15 ถ.เลียบน้ำปิงป่าแดด,0,0
84,6778490084,CN184,ร้านกุสุมา,ในเมือง,อำเภอเมืองลำพูน,ลำพูน,510101,51000,ทุกวัน,8:00:00 AM,5:00:00 PM,45/1 ถ.รอบเมืองใน,0,0
85,6778490085,CN185,โรงพยาบาลสัตว์นครพิงค์,สันโป่ง,อำเภอแม่ริม,เชียงใหม่,500703,50180,ทุกวัน,9:00:00 AM,8:00:00 PM,232/6-7 ม.6,0,0
86,6778490086,CN186,โรงพยาบาลสัตว์อินทนนท์,ดอยแก้ว,อำเภอจอมทอง,เชียงใหม่,500207,50160,ทุกวัน หยุดวันพุธ,9:00:00 AM,7:00:00 PM,เลขที่ 46/5 หมู่ที่ 2,0,0
87,6778490087,CN187,โรงพยาบาลสัตว์น่านน้ำทอง,ดู่ใต้,อำเภอเมืองน่าน,น่าน,550108,55000,ทุกวัน,8:30:00 AM,8:00:00 PM,"เลขที่ 300/128,300/130 หมู่ที่ 6",0,0
88,6778490088,CN188,ลานนายาสัตว์,หนองควาย,อำเภอหางดง,เชียงใหม่,501509,50230,ทุกวัน,9:00:00 AM,8:00:00 PM,เลขที่ 10/1 หมู่ที่ 11,0,0
89,6766510089,CB389,สัตวแพทย์กิตติพศ,หน้าเมือง,อำเภอเมืองฉะเชิงเทรา,ฉะเชิงเทรา,240101,24000,ทุกวัน,8:30:00 AM,8:00:00 PM,159 ถ.พานิช,0,0
90,6766510090,CB390,สัตวแพทย์โอภาส,หน้าเมือง,อำเภอเมืองฉะเชิงเทรา,ฉะเชิงเทรา,240101,24000,ทุกวัน,9:00:00 AM,7:00:00 PM,486/4 ถ.ศุขประยูร,0,0
91,6766510091,CB391,เกรียงศักดิ์สัตวแพทย์2,บ้านโพธิ์,อำเภอบ้านโพธิ์,ฉะเชิงเทรา,240501,24140,ทุกวัน,9:00:00 AM,8:00:00 PM,127/16 ม.1,0,0
92,6766510092,CB392,เอสแคร์สัตวแพทย์,พนมสารคาม,อำเภอพนมสารคาม,ฉะเชิงเทรา,240603,24120,"วันจันทร์, วันอังคาร, วันพุธ, วันพฤหัส, วันศุกร์, วันอาทิตย์",8:00:00 AM,7:00:00 PM,1392 ม.1,0,0
93,6766510093,CB393,สัตวแพทย์รุ่งเรือง,คลองหลวงแพ่ง,อำเภอเมืองฉะเชิงเทรา,ฉะเชิงเทรา,240118,24000,ทุกวัน,9:00:00 AM,7:00:00 PM,19/267,0,0
94,6766510094,CB394,โรงพยาบาลสัตว์บางปะกง,บางปะกง,อำเภอบางปะกง,ฉะเชิงเทรา,240401,24180,ทุกวัน,9:00:00 AM,8:00:00 PM,1/19 ม.18,0,0
95,6766510095,CB395,บูรพาสัตวแพทย์,บางวัว,อำเภอบางปะกง,ฉะเชิงเทรา,240403,24180,"วันอังคาร, วันพุธ, วันพฤหัส, วันศุกร์, วันเสาร์, วันอาทิตย์",9:00:00 AM,7:30:00 PM,100/6 ม.14 ถ.จรัญยานนท์,0,0
96,6766510096,CB396,สี่ขาคลินิก,หน้าเมือง,อำเภอเมืองฉะเชิงเทรา,ฉะเชิงเทรา,240101,24000,ทุกวัน,9:00:00 AM,8:00:00 PM,191/1-2 ซ.มหาจักรพรรดิ์ 9/1,0,0
97,6766510097,CB397,โรงพยาบาลสัตว์ เกศรี,แขวงสะพานสูง,เขตสะพานสูง,กรุงเทพมหานคร,104401,10240,ทุกวัน,10:00:00 AM,9:00:00 PM,25/30-32 หมู่บ้านเกศรี 2 ซ.รามคำแหง124,0,0
98,6766510098,CB398,คลินิกสัตวแพทย์ 99,แขวงประเวศ,เขตประเวศ,กรุงเทพมหานคร,103201,10250,ทุกวัน,10:00:00 AM,8:00:00 PM,208/13 เมืองทองนิเวศน์ 2 โครงการ 1,0,0
99,6766510099,CB399,หมอ หมา แมว (สหกรณ์รักษาสัตว์),แขวงคลองกุ่ม,เขตบึงกุ่ม,กรุงเทพมหานคร,102701,10240,ทุกวัน,10:00:00 AM,8:00:00 PM,889/4 ถ.เสรีไทย 43,0,0
100,6766510100,CB3100,พัฒนเวศม์รักษาสัตว์,แขวงพระโขนงเหนือ,เขตวัฒนา,กรุงเทพมหานคร,103903,10260,ทุกวัน,10:30:00 AM,8:00:00 PM,537/33 ถนนสุขุมวิท 71,0,0
